name,handedness,height,weight,avg,HR,new_avg,new_HR
Doug Flynn,R,71,165,0.238,7,0.238,7
Bert Bradley,B,73,190,0,0,0.0019,0.135
Ken Holtzman,R,74,175,0.163,2,0.163,2
Pete Ward,L,73,185,0.254,98,0.254,98
Kevin Bell,R,72,195,0.222,13,0.222,13
Tom Nieto,R,73,193,0.205,5,0.205,5
Duke Sims,L,74,197,0.239,100,0.239,100
Larvell Blanks,R,68,167,0.253,20,0.253,20
Francisco Barrios,R,71,155,0,0,0.02,0.169
Mike Davis,L,74,175,0.259,91,0.259,91
Jerry Reuss,L,77,200,0.167,1,0.167,1
Steve Yeager,R,72,190,0.228,102,0.228,102
Danny Goodwin,L,73,195,0.236,13,0.236,13
Bud Harrelson,B,71,160,0.236,7,0.236,7
Bob Knepper,L,75,195,0.137,6,0.137,6
Mickey Rivers,L,70,165,0.295,61,0.295,61
Jim Northrup,L,75,190,0.267,153,0.267,153
John Hale,L,74,195,0.201,14,0.201,14
Reggie Ritter,L,74,195,0,0,0.0056,0.146
Pedro Garcia,R,70,175,0.22,37,0.22,37
Carl Yastrzemski,L,71,175,0.285,452,0.285,452
Bob Babcock,R,77,210,0,0,0.0172,0.177
Craig Eaton,R,71,175,0,0,0.0036,0.159
Derrel Thomas,B,72,160,0.249,43,0.249,43
Art Howe,R,74,190,0.26,43,0.26,43
Ike Brown,R,72,190,0.256,20,0.256,20
Howie Goss,R,76,204,0.216,11,0.216,11
Glenn Borgmann,R,76,210,0.229,16,0.229,16
Lamar Johnson,R,74,215,0.287,64,0.287,64
Julio Gonzalez,R,71,162,0.235,4,0.235,4
Bobby Klaus,R,70,170,0.208,6,0.208,6
Manny Sanguillen,R,72,193,0.296,65,0.296,65
Gates Brown,L,71,220,0.257,84,0.257,84
Johnny Ray,B,71,170,0.29,53,0.29,53
Jesus Alou,R,74,190,0.28,32,0.28,32
Ken Landreaux,L,70,165,0.268,91,0.268,91
Enos Cabell,R,76,170,0.277,60,0.277,60
Roy Branch,R,72,175,0,0,0.0076,0.179
Billy North,B,71,185,0.261,20,0.261,20
Juan Beniquez,R,71,150,0.274,79,0.274,79
Frank Fernandez,R,72,185,0.199,39,0.199,39
Bombo Rivera,R,70,187,0.265,10,0.265,10
Steve Brye,R,72,190,0.258,30,0.258,30
Ron Jackson,R,72,200,0.259,56,0.259,56
Roger Metzger,B,72,165,0.231,5,0.231,5
Rufino Linares,R,72,170,0.27,11,0.27,11
Ray Webster,L,72,185,0.244,17,0.244,17
Bob Kearney,R,72,190,0.233,27,0.233,27
Fergie Jenkins,R,77,205,0.165,13,0.165,13
Dick Dietz,R,73,195,0.261,66,0.261,66
Ted Cox,R,75,195,0.245,10,0.245,10
Bobby Mitchell,L,70,170,0.243,3,0.243,3
Bobby Mitchell,R,75,185,0.235,21,0.235,21
Barry Evans,R,73,180,0.251,2,0.251,2
Mickey Brantley,R,70,180,0.259,32,0.259,32
Al Gallagher,R,72,180,0.263,11,0.263,11
Rob Woodward,R,75,185,0,0,0.0117,0.177
Hector Cruz,R,71,170,0.225,39,0.225,39
Fred Norman,B,68,155,0.125,0,0.125,0
Woody Woodward,R,74,180,0.236,1,0.236,1
Ted Martinez,R,72,165,0.24,7,0.24,7
Jim Anderson,R,72,170,0.218,13,0.218,13
Lenn Sakata,R,69,160,0.23,25,0.23,25
Dave Duncan,R,74,190,0.214,109,0.214,109
Randy Jones,R,72,178,0.132,0,0.132,0
Dick Billings,R,73,195,0.227,16,0.227,16
Bob Veselic,R,72,175,0,0,0.0067,0.129
Bruce Bochte,L,75,195,0.282,100,0.282,100
Bernie Carbo,L,71,173,0.264,96,0.264,96
Vic Davalillo,L,67,150,0.279,36,0.279,36
Burt Hooton,R,73,210,0.123,4,0.123,4
Chuck Hockenbery,B,73,195,0,0,0.0027,0.159
Bob Ferris,R,78,225,0,0,0.0074,0.193
Fernando Gonzalez,R,70,165,0.235,17,0.235,17
Jim Sundberg,R,72,190,0.248,95,0.248,95
Andy Kosco,R,75,205,0.236,73,0.236,73
Steve Huntz,B,73,204,0.206,16,0.206,16
Gary Wheelock,R,75,205,0,0,0.0168,0.173
Lenny Faedo,R,72,170,0.251,5,0.251,5
John Lowenstein,L,72,175,0.253,116,0.253,116
Don Kessinger,B,73,170,0.252,14,0.252,14
Joe Hague,L,72,195,0.239,40,0.239,40
Bake McBride,L,74,190,0.299,63,0.299,63
Dick Davis,R,75,190,0.265,27,0.265,27
Richie Scheinblum,B,73,180,0.263,13,0.263,13
Ed Herrmann,L,73,195,0.24,80,0.24,80
Mike Rochford,L,76,205,0,0,0.0134,0.181
Jeff Schneider,B,75,195,0,0,0.0034,0.145
Bob Molinaro,L,72,190,0.264,14,0.264,14
Mike Hegan,L,73,188,0.242,53,0.242,53
Mike Diaz,R,74,195,0.247,31,0.247,31
Tim Foli,R,72,179,0.251,25,0.251,25
Alan Knicely,R,72,190,0.213,12,0.213,12
Tim Laudner,R,75,212,0.225,77,0.225,77
Jose Morales,R,71,187,0.287,26,0.287,26
Luis Encarnacion,R,70,178,0,0,0.0074,0.111
Rick Kreuger,R,74,185,0,0,0.0008,0.153
Juan Marichal,R,72,185,0.165,4,0.165,4
Vida Blue,B,72,189,0.104,4,0.104,4
Angel Moreno,L,69,165,0,0,0.002,0.191
Roger Weaver,R,75,190,0,0,0,0.19
Stan Papi,R,72,170,0.218,7,0.218,7
Rob Wilfong,L,73,180,0.248,39,0.248,39
Chris Knapp,R,77,195,0,0,0.0117,0.116
Steve Henderson,R,74,190,0.28,68,0.28,68
Rob Picciolo,R,74,185,0.234,17,0.234,17
Don Welchel,R,76,205,0,0,0.0066,0.191
Randy Wiles,L,73,185,0,0,0.0038,0.129
Roberto Pena,R,68,170,0.245,13,0.245,13
Bob Dernier,R,72,160,0.255,23,0.255,23
Bill Melton,R,74,200,0.253,160,0.253,160
Albert Hall,B,71,155,0.251,5,0.251,5
Barbaro Garbey,R,70,170,0.267,11,0.267,11
John Milner,L,72,185,0.249,131,0.249,131
Rich Reese,L,75,185,0.253,52,0.253,52
Chris Bando,B,72,195,0.227,27,0.227,27
Bill Buckner,L,72,185,0.289,174,0.289,174
Jack Hiatt,R,74,190,0.251,22,0.251,22
Nelson Mathews,R,76,195,0.223,22,0.223,22
Larry Lintz,B,69,150,0.227,0,0.227,0
Ron Theobald,R,68,165,0.248,2,0.248,2
Dewey Robinson,R,72,180,0,0,0.0119,0.143
